"day","susceptibles","percentage_infected"
1,4356406,2.38723198156322e-05
2,4356293.54413912,2.18381180397839e-05
3,4356190.99786815,2.36749281972773e-05
4,4356088.77079409,2.78306666137866e-05
5,4355980.52210694,3.34966799011838e-05
6,4355861.70807223,4.02862737695145e-05
7,4355728.71767918,4.80535761942632e-05
8,4355586.42855082,5.66329774925058e-05
9,4355425.07974931,6.59903255376308e-05
10,4355242.3636539,7.62898312021918e-05
11,4355035.6355426,8.76995586954877e-05
12,4354801.89209781,0.00010039733676808
13,4354537.73941658,0.00011457526910137
14,4354239.35327885,0.00013044353176412
15,4353902.43170699,0.000148233927954841
16,4353522.1420575,0.000168203289756532
17,4353093.06159212,0.000190636999248552
18,4352609.11174299,0.000215852658152449
19,4352063.48821588,0.000244203921702305
20,4351598.00594474,0.000273178459042796
21,4351082.741798,0.000301154108223668
22,4350518.311871,0.000329367058308758
23,4349903.69580308,0.000358623401681127
24,4349236.76998477,0.000389474806745526
25,4348514.63319877,0.000422323935772599
26,4347733.80450589,0.000457487763753994
27,4346890.34273567,0.000495235649242379
28,4345979.91897307,0.000535812144617073
29,4344997.85350497,0.000579450723899321
30,4343939.15308842,0.000626382026270679
31,4342798.51843943,0.000676838330566547
32,4341570.35873428,0.000731056229224112
33,4340732.88799381,0.000779766705348815
34,4339851.32954144,0.000817278068802638
35,4338936.23833977,0.000847614936338516
36,4337994.59365111,0.000873325343188441
37,4337031.04129697,0.000896024587169645
38,4336048.70442512,0.000916737340947272
39,4335049.71356446,0.000936113791675065
40,4334035.55224643,0.000954566026774566
41,4333007.28346036,0.000972354744066732
42,4331974.89059674,0.000989515605535835
43,4330945.13793273,0.00100567744309417
44,4329915.1438236,0.00102065468859003
45,4328883.08332122,0.00103445556022027
46,4327847.82187123,0.00104717952102827
47,4326808.67785269,0.0010589603834333
48,4325765.26806056,0.001069935985302
49,4324717.40752068,0.00108023336808756
50,4323665.0438033,0.00108996243152803
51,4322608.21411729,0.00109921437216725
52,4321547.01709182,0.00110806251467228
53,4320481.59408453,0.00111656424814352
54,4319412.11659595,0.00112476334144184
55,4318338.77795617,0.00113269228676979
56,4317261.78752398,0.0011403744246954
57,4316181.36651946,0.00114782578240639
58,4315097.74523092,0.00115505669900817
59,4314011.16082537,0.00116207312499162
60,4312921.85572883,0.00116887770089048
61,4311830.07636206,0.00117547063664334
62,4310736.07206864,0.00118185040348584
63,4309640.09428755,0.00118801427205634
64,4308542.39580455,0.0011939587447475
65,4307443.23004611,0.00119967991345577
66,4306342.8505236,0.00120517369968062
67,4305241.51029272,0.00121043605636889
68,4304139.46155577,0.00121546308359884
69,4303036.95506829,0.00122025118677857
70,4301934.23982887,0.00122479711988534
71,4300831.56270627,0.00122909804032458
72,4299729.16812559,0.00123315153066564
73,4298627.29728428,0.00123695569582078
74,4297526.18846682,0.00124050906050682
75,4296426.08846057,0.00124381055342212
76,4295991.49212763,0.00123361757884799
77,4295568.88761786,0.00120324658481195
78,4295165.15601801,0.00116015433210547
79,4294784.38872356,0.00110944418271038
80,4294428.77810323,0.00105460782418549
81,4294099.2356352,0.000998026785490198
82,4293795.8185389,0.000941313726706141
