"day","susceptibles","percentage_infected"
1,4356406,2.38723198156322e-05
2,4356291.89510112,2.18649551669045e-05
3,4356184.18736934,2.38402762428017e-05
4,4356070.76565451,2.83854337701128e-05
5,4355943.20696774,3.48564445961864e-05
6,4355817.17201139,4.26069042679601e-05
7,4355670.65557305,5.13110827830477e-05
8,4355500.43506677,6.11692202031786e-05
9,4355302.83394699,7.23992802159302e-05
10,4355073.63339629,8.52430484206929e-05
11,4354807.98079567,9.99721952117e-05
12,4354500.29064121,0.000116894495306821
13,4354144.13475852,0.00013636040898352
14,4353732.11943206,0.000158770188105758
15,4353255.74775967,0.00018458163695798
16,4352705.26557031,0.000214318645533654
17,4352069.48941161,0.000248580598372348
18,4351335.61654191,0.000288052681318991
19,4350489.01493187,0.000333517213590914
20,4349512.99433188,0.000385865943780385
21,4348388.56085118,0.000446113153249579
22,4347094.15582043,0.000515409600791319
23,4345605.38408289,0.000595056995592027
24,4343894.73874563,0.000686522469555851
25,4341931.33232936,0.000791452684630575
26,4339680.64925538,0.000911686621859839
27,4337104.33568958,0.00104926604719315
28,4334160.05408398,0.00120644220615834
29,4330801.43098395,0.00138567687317046
30,4326978.1362492,0.00158963557022322
31,4322636.14256289,0.00182116981135823
32,4317718.18829722,0.00208328689770284
33,4312164.54534799,0.00237910092129385
34,4305914.10016844,0.00271176372332175
35,4298905.8062466,0.00308437102064335
36,4291080.5433865,0.00349984178268603
37,4282383.38176501,0.00396076878360919
38,4272766.21647863,0.00446924045093552
39,4262190.69779782,0.00502663772938282
40,4250631.28555749,0.00563341531841999
41,4238078.32733503,0.00628886982026635
42,4224591.29055573,0.00699022348203277
43,4210236.09876156,0.00773117852012128
44,4195049.35228471,0.00850486000065182
45,4179094.75143334,0.00930380435630099
46,4162459.1420165,0.0101194782416326
47,4145248.52832098,0.0109421515975494
48,4127583.68277418,0.0117610126629379
49,4109595.30921205,0.0125644509701091
50,4091418.93469157,0.0133404546255802
51,4073189.82186736,0.0140770727209538
52,4055038.23251687,0.014762900544517
53,4037085.33837695,0.0153875404233901
54,4019440.03084486,0.0159420045296399
55,4002196.66967738,0.016419036295477
56,3985433.91560868,0.0168133170985594
57,3969214.41386681,0.017121573677683
58,3953585.27703566,0.0173425693124827
59,3938579.16392304,0.0174770039061322
60,3924215.79108916,0.0175273289448747
61,3910503.60365522,0.0174975073532451
62,3897441.59513184,0.0173927510874461
63,3885021.04854873,0.0172192261795048
64,3873227.17112924,0.0169837707516636
65,3862040.56048094,0.0166936293780708
66,3851438.50756878,0.0163562067384967
67,3841395.99819067,0.0159788750295554
68,3831886.66768142,0.015568786350667
69,3822883.49532925,0.0151327430556474
70,3814359.36213898,0.0146770995633552
71,3806287.47287456,0.0142076917311904
72,3798641.66878751,0.0137297958552529
73,3791396.6547297,0.0132481105507063
74,3784528.14930241,0.012766757892846
75,3778012.97939937,0.0122892991929759
76,3771829.13060696,0.011818762828913
77,3765955.76238671,0.011357677121899
78,3760373.2026047,0.0109081118857724
79,3755062.91992778,0.0104717211362334
80,3750007.48616129,0.0100497870541617
81,3745190.52866717,0.00964326289198257
82,3740596.68013267,0.00925281301022828
83,3736211.52369238,0.00887885433610137
84,3732021.53139314,0.00852159691415544
85,3728014.01433462,0.00818106934191483
86,3724177.06777786,0.00785715190038992
87,3720499.52073912,0.00754960460253937
88,3716970.8845111,0.00725809092122986
89,3713581.30623132,0.00698219803220449
90,3710321.52094432,0.00672145597350543
91,3707182.81379347,0.00647535137811902
